State,Residential code / IRC adoption snapshot,Governance notes,Inspector Roofing Code-to-Spec response
Alabama,2021 IRC,Residential now under Home Builders Licensure Board.,Statewide baseline must be verified with licensing board and local AHJ before reroof scope.
Alaska,No statewide IRC listed; Anchorage shown on 2018 IRC,Applies to Anchorage; rest of state is local.,Treat as local-adoption state; verify municipality before writing code scope.
Arizona,2018 IRC,Entirely up to local jurisdictions; varies widely.,City code controls; product specs and local amendments must be checked before material selection.
Arkansas,2021 IRC for state buildings,"Applies to state buildings only, not local.",Local AHJ verification is mandatory for residential reroof projects.
California,2024 IRC basis through California Residential Code / Title 24,Mandatory statewide minimum; Los Angeles and San Francisco may amend.,"Apply Title 24, energy/cool-roof rules where triggered, WUI/Hazard rules where applicable, plus local amendments."
Colorado,2021 IRC example for Denver/state buildings,Home-rule state; local jurisdictions vary.,"Verify city/county code, especially wind, wildfire/WUI, snow load, and underlayment requirements."
Connecticut,2021 IRC,Statewide.,Use statewide code plus local permit and manufacturer requirements.
Delaware,"2018 IRC listed, not statewide",Local jurisdiction determines.,AHJ confirmation is required before assigning code upgrades.
District of Columbia,2015 IRC,Applies to entire district.,Use DC amendments and permit rules; manufacturer specs remain job-specific.
Florida,"2021 IRC basis through 2023 Florida Building Code, Residential",Statewide; local amendments and HVHZ requirements where applicable.,"Wind zone, product approval, underlayment, deck fastening, HVHZ, and Florida product approval must be addressed."
Georgia,2024 IRC with Georgia Amendments,Statewide minimum; enforcement by local AHJ.,Confirm Georgia amendments and local permit transition dates; align with manufacturer system requirements.
Hawaii,2018 IRC listed,Each county must adopt; some may lag.,County code and coastal/wind exposure rules must be confirmed.
Idaho,2024 IRC,Statewide with amendments.,"Use state-adopted code and local amendments, with attention to snow and wind exposure."
Illinois,Local adoption of current editions,No uniform statewide IRC; local jurisdictions vary.,Treat as local-adoption; document municipal code edition and amendments in every file.
Indiana,2018 IRC listed,"Statewide, requires local adoption; uses IRC electrical.",Confirm local adoption/enforcement and residential amendments.
Iowa,2024 IRC,Statewide.,Use statewide code plus AHJ details and manufacturer instructions.
Kansas,2018 IRC example,No statewide code; local jurisdictions.,Code-to-spec begins with city/county adoption research.
Kentucky,2015 IRC,Statewide code framework; Kentucky-specific plumbing/electrical distinctions.,Use Kentucky residential code and amendments; verify local inspection practices.
Louisiana,2021 IRC,Statewide.,Hurricane/wind requirements and local amendments are critical in coastal parishes.
Maine,2021 IRC,"Enforceable for cities with population over 4,000.",Verify municipality size/enforcement and local amendments.
Maryland,2021 IRC,Statewide with local amendments.,County/local amendments often matter; verify local roof permit rules.
Massachusetts,2021 IRC basis,Statewide with local amendments.,Roof covering application includes manufacturer instructions; use 780 CMR and local building department guidance.
Michigan,2015 IRC for residential,Statewide; residential 2015 IRC while building code may differ.,Use Michigan Residential Code and distinguish residential from commercial/multifamily work.
Minnesota,2018 IRC,Statewide with extensive amendments.,"Check state amendments, ice barrier/snow load/ventilation, and local practices."
Mississippi,"Local choice among 2012, 2015 or 2018 IRC",Adopted at local level.,Local code edition must be confirmed before code upgrades are asserted.
Missouri,2018 IRC example,Adopted locally; example shown for St. Louis.,Treat each municipality separately; code scope cannot be generalized statewide.
Montana,2021 IRC,Local jurisdictions have option to enforce.,Verify whether local jurisdiction enforces the residential code.
Nebraska,2018 IRC listed,Electrical statewide; other codes local.,Local code and permit verification controls reroof scope.
Nevada,2024 IRC,Statewide with local amendments; uses UMC mechanical.,Confirm city/county amendments and wind exposure rules.
New Hampshire,2021 IRC,Statewide.,State code applies; verify local administrative amendments and permits.
New Jersey,2021 IRC,Statewide; national plumbing code distinctions.,Use Uniform Construction Code and local permit process.
New Mexico,2021 IRC,Statewide; also adopts 2021 UMC mechanical.,Use state code and local AHJ requirements; manufacturer specs remain component-specific.
New York,2024 IRC basis / 2025 Residential Code of NYS,Statewide except New York City.,Differentiate NYS from NYC; local energy and snow/wind amendments can affect roof assemblies.
North Carolina,2015 IRC basis through 2018 NC Residential Code,Updates delayed; current code resources should be checked.,Use NC amendments and high-wind/coastal chapters where applicable.
North Dakota,2021 IRC,Statewide.,Use state code and local inspection practices.
Ohio,2018 IRC listed,Statewide; 2021 IBC for other than one-/two-family.,Separate one-/two-family from commercial/multifamily; verify local enforcement.
Oklahoma,2018 IRC listed; moving toward 2024 I-Codes,Statewide framework with pending updates.,Confirm latest effective edition before applying code upgrades.
Oregon,"2021 IRC, 2024 codes effective April 1, 2026",Statewide with transition.,Use project permit date to determine applicable code; transition dates matter.
Pennsylvania,2021 IRC,Most jurisdictions opt in; Philadelphia has custom code.,Verify municipal opt-in and Philadelphia-specific requirements when applicable.
Rhode Island,2021 IRC,Statewide.,Use statewide amendments and local permit requirements.
South Carolina,2021 IRC,Statewide.,"Wind-borne debris, coastal exposure, and product installation requirements should be documented."
South Dakota,2021 IRC,Local jurisdictions have option to adopt.,Verify the city/county code and enforcement status.
Tennessee,2021 IRC listed; residential may still be 2018 IRC,State/local nuance.,Confirm local residential edition before asserting code-triggered work.
Texas,2021 IRC in some programs / local adoption generally,Local can be more current than state; local adoption controls.,Contact local jurisdiction; document city code and amendments before scope.
Utah,2024 IRC,State buildings; local adoptions may lag.,"Confirm local adoption and amendments, especially snow, wind, and wildfire provisions."
Vermont,No IRC listed; IBC adoption noted,Adopts IBC and not the IRC per Code Check snapshot.,Verify state/local residential enforcement path; do not assume IRC applies.
Virginia,2021 IRC,Statewide.,Use Virginia Uniform Statewide Building Code and local permit process.
Washington,"2021 IRC, update scheduled May 2026",Statewide with upcoming update.,Permit date matters; verify current Washington amendments and energy code implications.
West Virginia,2018 IRC,Statewide.,Use state code and local AHJ enforcement details.
Wisconsin,2015 IRC modified as Wisconsin Uniform Dwelling Code,Statewide modified code.,Use Wisconsin UDC rather than assuming unamended IRC language.
Wyoming,"2024 IRC listed, local adoption",Entirely up to local jurisdictions.,Treat as local-adoption; verify municipality or county before scope.
